,Title,Address,Latitude,Longitude,City,State,Country,Postal Code,Message,Categories,images,website,phone,email,Click Action,Redirect URL,,
,University of Arizona,"The University of Arizona, Tucson, AZ, United States",32.2318851,-110.9501094,Tucson,Arizona,United States,85721,"The University of Arizona is a public research university in Tucson, Arizona, United States. Founded in 1885, the UA was the first university in the Arizona Territory. ",Universities,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/University-usa.jpg"">",https://en.wikipedia.org/wiki/University_of_Arizona,,,marker,,https://wpmapspro.com/wp-content/uploads/2017/01/University-usa.jpg,yes
,Strawberry Stadium,"Strawberry Stadium, Western Avenue, Hammond, LA, USA",30.5110264,-90.4685792,5,Louisiana,United States,70401,"Strawberry Stadium is a 7,408-seat football stadium in Hammond, Louisiana. It is home to the Southeastern Louisiana University Lions football team.",Stadiums,,https://en.wikipedia.org/wiki/Strawberry_Stadium,,,marker,,yes,
,Paul Brown Stadium,"Paul Brown Stadium, Cincinnati, OH, USA",39.0954576,-84.5160577,Cincinnati,Ohio,United States,45202,"Paul Brown Stadium is an outdoor football stadium in the north central United States, located in Cincinnati, Ohio. ",Stadiums,,https://en.wikipedia.org/wiki/Paul_Brown_Stadium,,,marker,,yes,
,James Madison University,"James Madison University, Harrisonburg, VA, United States",38.435092,-78.8697548,Harrisonburg,Virginia,United States,22807,"James Madison University is a public coeducational research university located in Harrisonburg, Virginia, United States.",Universities,,https://en.wikipedia.org/wiki/James_Madison_University,,,marker,,yes,
,Texas Woman's University,"Texas Woman's University, Administration Drive, Denton, TX, United States",33.2263112,-97.1281615,Denton,Texas,United States,76204,"Texas Woman's University is a co-educational university in Denton, Texas, United States with two health science center branches in Dallas and Houston.",Universities,,https://en.wikipedia.org/wiki/Texas_Woman's_University,,,marker,,yes,
,Lucas Oil Stadium,"Lucas Oil Stadium, South Capitol Avenue, Indianapolis, IN, USA",39.7601007,-86.1638877,Center Township,Indiana,United States,46225,"Lucas Oil Stadium is a multi-purpose stadium in downtown Indianapolis, United States. It replaced the RCA Dome as the home field of the NFL's Indianapolis Colts.",Stadiums,,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,,,marker,,yes,
,Lincoln University,"Lincoln University, Baltimore Pike, PA, USA",39.808079,-75.927453,Lower Oxford Township,Pennsylvania,United States,19352,"Lincoln University is the United States' first degree-granting historically black university. Founded as a private university in 1854, it has been a public institution since 1972. ",Universities,,https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania),,,marker,,yes,
,"University of Virginia, Charlottesville,","University of Virginia, Charlottesville, VA, United States",38.0335529,-78.5079772,Jack Jouett,Virginia,United States,22903,"The University of Virginia, frequently referred to simply as Virginia, is a public flagship and research university. ",Universities,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Hereford_College_broadview.jpg"">",https://en.wikipedia.org/wiki/University_of_Virginia,,,marker,,,yes
,Auburn University,"Auburn University, Auburn, AL, United States",32.5933574,-85.4951663,Auburn,Alabama,United States,36849,"Auburn University is a public research university in Auburn, Alabama, United States. With more than 22,000 undergraduate students and a total of more than 28,000 students and 1,200 faculty members, it ..",Universities,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1525261243/google-maps-examples/Auburn.jpg"">",https://en.wikipedia.org/wiki/Auburn_University,,,marker,,https://wpgmp.flippercode.com/dev/wp-content/uploads/sites/109/2017/12/mario-calvo-1245-300x200.jpg,yes
,The University of Texas At El Paso,"The University of Texas At El Paso, West University Avenue, El Paso, TX, United States",31.7708544,-106.5046216,El Paso,Texas,United States,79902,"The University of Texas at El Paso is a public research university in El Paso, Texas, United States. The school was founded in 1914 as the State School of Mines and Metallurgy, and a practice mineshaft survives on the mountainous desert campus.",Universities,,https://en.wikipedia.org/wiki/University_of_Texas_at_El_Paso,,,marker,,,yes
,San Diego State University,"San Diego State University, San Diego, CA, United States",32.7757217,-117.0718893,San Diego,California,United States,92182,"San Diego State University is a public research university in San Diego, California, and is the largest and oldest higher education institution in San Diego County. ",Universities,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Love_library_entrance.jpg"">",https://en.wikipedia.org/wiki/San_Diego_State_University,123456789,,marker,,,yes
